state	edge_type	consumer_or_authority	producer_or_projection	detail
baseline	include	src/accounts/provider.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/accounts/provider.c	include/yvex/internal/io.h	yvex/internal/io.h
baseline	include	src/accounts/provider.c	include/yvex/source.h	yvex/source.h
baseline	include	src/artifact/core.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/artifact/core.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/descriptor.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/descriptor.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/descriptor.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/artifact/identity.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/artifact/identity.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/identity.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/integrity.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/artifact/integrity.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/integrity.c	include/yvex/model.h	yvex/model.h
baseline	include	src/artifact/integrity.c	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/artifact/materialize.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/artifact/materialize.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/materialize.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/materialize.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/artifact/roundtrip_gate.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/roundtrip_gate.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/roundtrip_gate.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/artifact/roundtrip_gate.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/backend/core.c	include/yvex/internal/backend.h	yvex/internal/backend.h
baseline	include	src/backend/cpu.c	include/yvex/internal/backend.h	yvex/internal/backend.h
baseline	include	src/backend/cpu.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/backend/cuda/backend.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/capability.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/errors.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/families/deepseek_v4.c	include/yvex/internal/backend.h	yvex/internal/backend.h
baseline	include	src/backend/cuda/families/deepseek_v4.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/graph.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/info.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/kernels.cu	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/backend/cuda/moe.c	include/yvex/internal/moe.h	yvex/internal/moe.h
baseline	include	src/backend/cuda/moe.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/ops.c	include/yvex/internal/graph_state.h	yvex/internal/graph_state.h
baseline	include	src/backend/cuda/ops.c	include/yvex/internal/transformer.h	yvex/internal/transformer.h
baseline	include	src/backend/cuda/ops.c	include/yvex/quant.h	yvex/quant.h
baseline	include	src/backend/cuda/ops.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/qtype.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/backend/cuda/qtype.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/cuda/tensor.c	src/backend/cuda/private.h	src/backend/cuda/private.h
baseline	include	src/backend/report.c	include/yvex/internal/backend.h	yvex/internal/backend.h
baseline	include	src/cli/commands/accounts.c	include/yvex/source.h	yvex/source.h
baseline	include	src/cli/commands/accounts.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/accounts.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/artifact.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/cli/commands/artifact.c	include/yvex/backend.h	yvex/backend.h
baseline	include	src/cli/commands/artifact.c	include/yvex/core.h	yvex/core.h
baseline	include	src/cli/commands/artifact.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/cli/commands/artifact.c	include/yvex/model.h	yvex/model.h
baseline	include	src/cli/commands/artifact.c	include/yvex/registry.h	yvex/registry.h
baseline	include	src/cli/commands/artifact.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/artifact.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/artifact.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/commands/backend.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/backend.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/backend.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/commands/gguf.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/cli/commands/gguf.c	include/yvex/core.h	yvex/core.h
baseline	include	src/cli/commands/gguf.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/cli/commands/gguf.c	include/yvex/model.h	yvex/model.h
baseline	include	src/cli/commands/gguf.c	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/cli/commands/gguf.c	include/yvex/quant.h	yvex/quant.h
baseline	include	src/cli/commands/gguf.c	include/yvex/source.h	yvex/source.h
baseline	include	src/cli/commands/gguf.c	include/yvex/tokenizer.h	yvex/tokenizer.h
baseline	include	src/cli/commands/gguf.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/gguf.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/benchmark.h	yvex/internal/benchmark.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/compilation.h	yvex/internal/compilation.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/decode.h	yvex/internal/decode.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/generation.h	yvex/internal/generation.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/graph.h	yvex/internal/graph.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/logits.h	yvex/internal/logits.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/moe.h	yvex/internal/moe.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/runtime.h	yvex/internal/runtime.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/sampling.h	yvex/internal/sampling.h
baseline	include	src/cli/commands/graph.c	include/yvex/internal/source.h	yvex/internal/source.h
baseline	include	src/cli/commands/graph.c	include/yvex/registry.h	operator/registry.h
baseline	include	src/cli/commands/graph.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/graph.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/graph.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/commands/graph.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/commands/model_artifacts.c	include/yvex/internal/model_artifact.h	yvex/internal/model_artifact.h
baseline	include	src/cli/commands/model_artifacts.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/model_artifacts.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/commands/model_artifacts.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/commands/model_target.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/model_target.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/model_target.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/commands/paths.c	include/yvex/core.h	yvex/core.h
baseline	include	src/cli/commands/paths.c	include/yvex/internal/source.h	yvex/internal/source.h
baseline	include	src/cli/commands/paths.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/paths.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/quant.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/cli/commands/quant.c	include/yvex/internal/compilation.h	yvex/internal/compilation.h
baseline	include	src/cli/commands/quant.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/cli/commands/quant.c	include/yvex/internal/gguf_writer.h	yvex/internal/gguf_writer.h
baseline	include	src/cli/commands/quant.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/cli/commands/quant.c	include/yvex/quant.h	yvex/quant.h
baseline	include	src/cli/commands/quant.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/quant.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/source.c	include/yvex/source.h	yvex/source.h
baseline	include	src/cli/commands/source.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/source.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/commands/source.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/commands/tokenizer.c	include/yvex/core.h	yvex/core.h
baseline	include	src/cli/commands/tokenizer.c	include/yvex/model.h	yvex/model.h
baseline	include	src/cli/commands/tokenizer.c	include/yvex/tokenizer.h	yvex/tokenizer.h
baseline	include	src/cli/commands/tokenizer.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/commands/tokenizer.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/input/backend.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/input/graph.c	include/yvex/provider.h	yvex/provider.h
baseline	include	src/cli/input/graph.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/input/model_artifacts.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/input/model_artifacts.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/input/model_target.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/cli/input/model_target.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/input/operator.c	include/yvex/registry.h	operator/registry.h
baseline	include	src/cli/input/operator.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/input/source.c	include/yvex/internal/source.h	yvex/internal/source.h
baseline	include	src/cli/input/source.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/io/client.c	include/yvex/registry.h	operator/registry.h
baseline	include	src/cli/io/client.c	include/yvex/server.h	yvex/server.h
baseline	include	src/cli/io/client.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/io/client.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/io/client.c	src/cli/private.h	src/cli/private.h
baseline	include	src/cli/io/json.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/io/out.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/cli/io/out.c	include/yvex/registry.h	operator/registry.h
baseline	include	src/cli/io/out.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/main.c	include/yvex/core.h	yvex/core.h
baseline	include	src/cli/main.c	include/yvex/registry.h	operator/registry.h
baseline	include	src/cli/main.c	src/cli/input/private.h	src/cli/input/private.h
baseline	include	src/cli/main.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/main.c	src/cli/private.h	src/cli/private.h
baseline	include	src/cli/model_artifacts/artifacts.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/model_artifacts/context.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/model_artifacts/download.c	include/yvex/core.h	yvex/core.h
baseline	include	src/cli/model_artifacts/download.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/model_artifacts/fullmodel.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/model_artifacts/models.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/cli/model_artifacts/models.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/model_artifacts/moe.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/model_artifacts/prepare.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/cli/model_artifacts/prepare.c	include/yvex/graph.h	yvex/graph.h
baseline	include	src/cli/model_artifacts/prepare.c	include/yvex/internal/source.h	yvex/internal/source.h
baseline	include	src/cli/model_artifacts/prepare.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/model_artifacts/tensors.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/render/backend.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/render/backend.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/render/common.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/cli/render/common.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/cli/render/common.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/render/common.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/render/graph.c	include/yvex/internal/decode.h	yvex/internal/decode.h
baseline	include	src/cli/render/graph.c	include/yvex/internal/generation.h	yvex/internal/generation.h
baseline	include	src/cli/render/graph.c	include/yvex/internal/logits.h	yvex/internal/logits.h
baseline	include	src/cli/render/graph.c	include/yvex/internal/profile.h	yvex/internal/profile.h
baseline	include	src/cli/render/graph.c	include/yvex/internal/sampling.h	yvex/internal/sampling.h
baseline	include	src/cli/render/graph.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/render/graph.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/render/graph.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/render/model_artifacts.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/render/model_artifacts.c	src/cli/model_artifacts/private.h	src/cli/model_artifacts/private.h
baseline	include	src/cli/render/model_artifacts.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/render/model_target.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/cli/render/model_target.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/render/model_target.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/cli/render/source.c	include/yvex/internal/source.h	yvex/internal/source.h
baseline	include	src/cli/render/source.c	src/cli/io/private.h	src/cli/io/private.h
baseline	include	src/cli/render/source.c	src/cli/render/private.h	src/cli/render/private.h
baseline	include	src/core/fs.c	include/yvex/core.h	yvex/core.h
baseline	include	src/core/fs.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/core/json.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/core/sha256.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/core/shard_index.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/core/status.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/daemon/yvexd.c	include/yvex/internal/source.h	yvex/internal/source.h
baseline	include	src/daemon/yvexd.c	include/yvex/server.h	yvex/server.h
baseline	include	src/gguf/conversion.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/gguf/conversion.c	include/yvex/backend.h	yvex/backend.h
baseline	include	src/gguf/conversion.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/gguf/conversion.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/conversion.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/gguf/conversion.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/conversion.c	include/yvex/internal/io.h	yvex/internal/io.h
baseline	include	src/gguf/conversion.c	include/yvex/model.h	yvex/model.h
baseline	include	src/gguf/conversion.c	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/gguf/conversion.c	include/yvex/source.h	yvex/source.h
baseline	include	src/gguf/core.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/core.c	include/yvex/internal/io.h	yvex/internal/io.h
baseline	include	src/gguf/descriptor.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/file_sink.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/file_sink.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/file_sink.c	include/yvex/internal/gguf_writer.h	yvex/internal/gguf_writer.h
baseline	include	src/gguf/imatrix.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/imatrix.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/imatrix.c	include/yvex/internal/io.h	yvex/internal/io.h
baseline	include	src/gguf/imatrix.c	include/yvex/quant.h	yvex/quant.h
baseline	include	src/gguf/layout_integrity.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/gguf/layout_integrity.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/gguf/layout_integrity.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/layout_integrity.c	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/gguf/qtype.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/qtype.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/qtype.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/quant_block.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/quant_block.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/quant_compute.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/quant_execute.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/quant_execute.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/quant_job.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/quant_job.c	include/yvex/internal/io.h	yvex/internal/io.h
baseline	include	src/gguf/quant_job.c	include/yvex/quant.h	yvex/quant.h
baseline	include	src/gguf/quant_plan.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/quant_plan.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/gguf/quant_plan.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/quant_policy.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/gguf/quant_policy.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/gguf/quant_policy.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/quant_policy.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/quant_policy.c	include/yvex/internal/io.h	yvex/internal/io.h
baseline	include	src/gguf/quant_policy.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/quant_policy.c	include/yvex/model.h	yvex/model.h
baseline	include	src/gguf/quant_policy.c	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/gguf/quant_policy.c	include/yvex/quant.h	yvex/quant.h
baseline	include	src/gguf/quant_registry.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/quant_registry.c	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/gguf/quant_scalar.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/quant_scalar.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/quant_sink.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/quant_sink.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/reader.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/tokenizer_metadata.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/tokenizer_metadata.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/tools.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/gguf/tools.c	include/yvex/backend.h	yvex/backend.h
baseline	include	src/gguf/tools.c	include/yvex/core.h	yvex/core.h
baseline	include	src/gguf/tools.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/gguf/tools.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/tools.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/tools.c	include/yvex/model.h	yvex/model.h
baseline	include	src/gguf/tools.c	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/gguf/tools.c	include/yvex/source.h	yvex/source.h
baseline	include	src/gguf/tools.c	include/yvex/tokenizer.h	yvex/tokenizer.h
baseline	include	src/gguf/variant.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/variant.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/gguf/writer.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/gguf/writer.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/gguf/writer.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/gguf/writer.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/gguf/writer.c	include/yvex/internal/gguf_writer.h	yvex/internal/gguf_writer.h
baseline	include	src/graph/attention.c	src/graph/private.h	src/graph/private.h
baseline	include	src/graph/candidate.c	include/yvex/internal/candidate.h	yvex/internal/candidate.h
baseline	include	src/graph/candidate.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/graph/candidate.c	src/graph/private.h	src/graph/private.h
baseline	include	src/graph/core.c	src/graph/private.h	src/graph/private.h
baseline	include	src/graph/execution.c	include/yvex/internal/backend.h	yvex/internal/backend.h
baseline	include	src/graph/execution.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/graph/execution.c	include/yvex/internal/execution.h	yvex/internal/execution.h
baseline	include	src/graph/families/deepseek_v4.c	include/yvex/internal/backend.h	yvex/internal/backend.h
baseline	include	src/graph/families/deepseek_v4.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/graph/families/deepseek_v4.c	include/yvex/internal/graph_state.h	yvex/internal/graph_state.h
baseline	include	src/graph/families/deepseek_v4.c	include/yvex/internal/logits.h	yvex/internal/logits.h
baseline	include	src/graph/families/deepseek_v4.c	include/yvex/internal/moe.h	yvex/internal/moe.h
baseline	include	src/graph/families/deepseek_v4.c	include/yvex/internal/runtime.h	yvex/internal/runtime.h
baseline	include	src/graph/families/deepseek_v4.c	include/yvex/internal/transformer.h	yvex/internal/transformer.h
baseline	include	src/graph/families/deepseek_v4.c	src/graph/private.h	src/graph/private.h
baseline	include	src/graph/memory_plan.c	include/yvex/internal/graph_state.h	yvex/internal/graph_state.h
baseline	include	src/graph/memory_plan.c	src/graph/private.h	src/graph/private.h
baseline	include	src/graph/moe.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/graph/moe.c	include/yvex/internal/moe.h	yvex/internal/moe.h
baseline	include	src/graph/moe.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/graph/moe.c	src/graph/private.h	src/graph/private.h
baseline	include	src/graph/numeric.c	src/graph/private.h	src/graph/private.h
baseline	include	src/graph/plan.c	include/yvex/internal/backend.h	yvex/internal/backend.h
baseline	include	src/graph/plan.c	include/yvex/internal/graph_state.h	yvex/internal/graph_state.h
baseline	include	src/graph/plan.c	src/graph/private.h	src/graph/private.h
baseline	include	src/graph/state.c	include/yvex/internal/candidate.h	yvex/internal/candidate.h
baseline	include	src/graph/state.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/graph/state.c	include/yvex/internal/graph_state.h	yvex/internal/graph_state.h
baseline	include	src/graph/state_recipe.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/graph/state_recipe.c	include/yvex/internal/graph_state.h	yvex/internal/graph_state.h
baseline	include	src/graph/transformer.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/graph/transformer.c	include/yvex/internal/transformer.h	yvex/internal/transformer.h
baseline	include	src/graph/transformer.c	src/graph/private.h	src/graph/private.h
baseline	include	src/io/writer.c	include/yvex/internal/io.h	yvex/internal/io.h
baseline	include	src/model/artifacts/gate.c	include/yvex/backend.h	yvex/backend.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/compilation.h	yvex/internal/compilation.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/gguf_writer.h	yvex/internal/gguf_writer.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/graph.h	yvex/internal/graph.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/model_artifact.h	yvex/internal/model_artifact.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/model/artifacts/gate.c	include/yvex/internal/runtime.h	yvex/internal/runtime.h
baseline	include	src/model/artifacts/gate.c	include/yvex/model.h	yvex/model.h
baseline	include	src/model/artifacts/ref.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/model/artifacts/ref.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/model/artifacts/ref.c	include/yvex/model.h	yvex/model.h
baseline	include	src/model/artifacts/ref.c	include/yvex/registry.h	yvex/registry.h
baseline	include	src/model/artifacts/registry.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/model/artifacts/registry.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/model/artifacts/registry.c	include/yvex/internal/model_artifact.h	yvex/internal/model_artifact.h
baseline	include	src/model/artifacts/registry.c	include/yvex/registry.h	yvex/registry.h
baseline	include	src/model/artifacts/write.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/model/artifacts/write.c	include/yvex/internal/model_artifact.h	yvex/internal/model_artifact.h
baseline	include	src/model/compilation/binding.c	include/yvex/internal/compilation.h	yvex/internal/compilation.h
baseline	include	src/model/compilation/binding.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/model/compilation/ir.c	include/yvex/internal/compilation.h	yvex/internal/compilation.h
baseline	include	src/model/compilation/ir.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/model/compilation/ir.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
